Classifier;Rounds;Precision;Recall;F-score;Support;Accuracy;Next version;
nb;85;0.9661016949152542;0.7651006711409396;0.8539325842696628;149.0;0.7891891891891892;release-0.1.1;
nb;86;0.9743589743589743;0.7651006711409396;0.8571428571428571;149.0;0.7934782608695652;2.0.5-alpha-rc2;
nb;87;0.9827586206896551;0.7651006711409396;0.860377358490566;149.0;0.7978142076502732;release-2.8.0-RC1;
nb;88;0.9827586206896551;0.7651006711409396;0.860377358490566;149.0;0.7967032967032966;rel/release-2.8.3;
nb;89;0.9827586206896551;0.7651006711409396;0.860377358490566;149.0;0.7955801104972375;release-2.1.0-beta-rc0;
nb;90;0.9826086956521739;0.7635135135135135;0.8593155893536122;148.0;0.7944444444444444;release-0.18.2;
nb;91;0.9824561403508771;0.7619047619047619;0.8582375478927203;147.0;0.7932960893854749;release-2.6.3-RC1;
nb;92;0.9824561403508771;0.7671232876712328;0.8615384615384616;146.0;0.797752808988764;YARN-7055-2018-03-02;
nb;93;0.9824561403508771;0.7671232876712328;0.8615384615384616;146.0;0.7966101694915254;release-2.0.3-alpha;
nb;94;0.9823008849557522;0.7655172413793103;0.8604651162790697;145.0;0.7954545454545454;release-1.0.4;
nb;95;0.9821428571428571;0.7638888888888888;0.8593749999999999;144.0;0.7942857142857143;release-2.4.1;
nb;96;0.9821428571428571;0.7692307692307693;0.8627450980392156;143.0;0.7988505747126436;release-2.4.1-rc1;
nb;97;0.9821428571428571;0.7746478873239436;0.8661417322834646;142.0;0.8034682080924855;release-0.22.0;
nb;98;0.9819819819819819;0.7730496453900709;0.8650793650793651;141.0;0.8023255813953488;release-0.20.203.0;
nb;99;0.9818181818181818;0.7714285714285715;0.864;140.0;0.8011695906432749;rel/release-3.0.0-alpha3;
nb;100;0.9818181818181818;0.7714285714285715;0.864;140.0;0.8;release-0.23.4-rc0;
svm;1;0.9736842105263158;1.0;0.9866666666666666;222.0;0.9776951672862454;YARN-7055-2018-03-02;
svm;2;0.9736842105263158;1.0;0.9866666666666666;222.0;0.9776119402985075;release-2.6.3;
svm;3;0.973568281938326;1.0;0.9866071428571429;221.0;0.9775280898876404;release-2.5.2-RC1;
svm;4;0.9734513274336283;1.0;0.9865470852017937;220.0;0.9774436090225563;release-2.0.4-alpha-rc2;
svm;5;0.8264150943396227;1.0;0.9049586776859504;219.0;0.8264150943396227;rel/release-2.9.0;
svm;6;0.9733333333333334;1.0;0.9864864864864865;219.0;0.9772727272727273;release-2.6.2;
svm;7;0.8352490421455939;1.0;0.9102296450939458;218.0;0.8365019011406845;release-3.0.0-RC0;
svm;8;0.9692307692307692;0.8669724770642202;0.9152542372881355;218.0;0.8664122137404581;release-2.6.3-RC0.1;
svm;9;0.9730941704035875;1.0;0.9863636363636364;217.0;0.9770114942528736;release-2.8.3-RC0;
svm;10;0.9730941704035875;1.0;0.9863636363636364;217.0;0.9769230769230769;release-2.5.2-RC0;
svm;11;0.972972972972973;1.0;0.9863013698630138;216.0;0.9768339768339769;release-3.0.0-beta1-RC0;
svm;12;0.972972972972973;1.0;0.9863013698630138;216.0;0.9767441860465116;release-2.6.3-RC1;
svm;13;0.9728506787330317;1.0;0.9862385321100917;215.0;0.9766536964980544;rel/release-3.0.0-alpha3;
svm;14;0.9728506787330317;1.0;0.9862385321100917;215.0;0.9765625;release-2.5.1;
svm;15;0.9727272727272728;1.0;0.9861751152073733;214.0;0.9764705882352941;release-3.0.0-alpha2-RC0;
svm;16;0.9727272727272728;1.0;0.9861751152073733;214.0;0.9763779527559056;release-2.5.0-rc2;
svm;17;0.9726027397260274;1.0;0.9861111111111112;213.0;0.9762845849802372;YARN-5355-branch-2-2016-11-06;
svm;18;0.9726027397260274;1.0;0.9861111111111112;213.0;0.9761904761904762;release-2.6.0;
svm;19;0.9724770642201835;1.0;0.986046511627907;212.0;0.9760956175298805;YARN-2928-2016-06-21;
svm;20;0.9724770642201835;1.0;0.986046511627907;212.0;0.976;release-2.6.1-RC0;
svm;21;0.9723502304147466;1.0;0.985981308411215;211.0;0.9759036144578314;release-2.9.0-RC2;
svm;22;0.9723502304147466;1.0;0.985981308411215;211.0;0.9758064516129032;rel/release-2.6.5;
svm;23;0.9722222222222222;1.0;0.9859154929577464;210.0;0.9757085020242915;rel/release-3.0.0-alpha4;
svm;24;0.9722222222222222;1.0;0.9859154929577464;210.0;0.975609756097561;release-2.6.1-RC1;
